countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
AIA2020,,,,,,
AIA2021,,,,,,
AIA2022,,,,,,
ATG1980,,,,,,
ATG1981,,,,,,
ATG1982,,,,,,
ATG1983,,,,,,
ATG1984,,,,,,
ATG1985,,,,,,
ATG1986,,,,,,
ATG1987,,,,,,
ATG1988,,,,,,
ATG1989,,,,,,
ATG1990,,,,,,
ATG1991,,,,,,
ATG1992,,,,,,
ATG1993,,,,,,
ATG1994,,,,,,
ATG1995,,,,,,
ATG1996,,,,,,
ATG1997,,,,,,
ATG1998,,,,,,
ATG1999,,,,,,
ATG2000,0.068083856,14.68776978,0.06705969,14.91208791,0.047413793,21.09090909
ATG2001,,,,,,
ATG2002,,,,,,
ATG2003,,,,,,
ATG2004,,,,,,
ATG2005,,,,,,
ATG2006,,,,,,
ATG2007,0.053283153,18.76765799,,,0.172267421,5.804928131
ATG2008,0.066673252,14.99851852,0.130336571,7.672443674,,
ATG2009,0.06871663,14.55251799,0.085201794,11.73684211,0.102264928,9.77852349
ATG2010,0.074536021,13.41633199,0.08138509,12.28726287,0.110356537,9.061538462
ATG2011,0.076194357,13.12433155,,,,
ATG2012,0.078028111,12.81589404,0.107891892,9.268537074,0.073951799,13.52232143
ATG2013,,,,,,
ATG2014,0.074437031,13.43417367,,,,
ATG2015,0.073244426,13.65291607,,,,
ATG2016,,,,,,
ATG2017,0.085991245,11.62909091,,,,
ATG2018,0.084656085,11.8125,,,,
ATG2019,,,,,,
ATG2020,,,,,,
ATG2021,,,,,,
ATG2022,,,,,,
ARG1980,0.052838717,18.92551642,,,,
ARG1981,0.05318541,18.80214883,,,,
ARG1982,0.053062048,18.84586148,,,,
ARG1983,,,,,,
ARG1984,0.052295065,19.12226341,,,,
ARG1985,0.053145133,18.81639858,,,,
ARG1986,0.053490939,18.694755,,,,
ARG1987,0.055209017,18.11298308,,,,
