year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
1994,UKR,UKR1994,2251398,1098859,1152539,3792783,1868826,1923957,1471135,732015,739120
1995,UKR,UKR1995,2214217,1080248,1133969,3816252,1874455,1941797,1481272,737066,744206
1996,UKR,UKR1996,2164211,1055815,1108396,3818026,1870448,1947578,1497666,743208,754458
1997,UKR,UKR1997,2104224,1025794,1078430,3794197,1854366,1939831,1513600,747470,766130
1998,UKR,UKR1998,2028205,988275,1039930,3743086,1826663,1916423,1526714,750403,776311
1999,UKR,UKR1999,1937171,943651,993520,3667217,1788204,1879013,1534187,750952,783235
2000,UKR,UKR2000,1836726,894611,942115,3571117,1740496,1830621,1528495,746220,782275
2001,UKR,UKR2001,1734468,844862,889606,3457000,1684171,1772829,1507654,735273,772381
2002,UKR,UKR2002,1638707,798358,840349,3325296,1619645,1705651,1477033,720063,756970
2003,UKR,UKR2003,2014885,981821,1033064,3179619,1548499,1631120,1445008,704113,740895
2004,UKR,UKR2004,1914757,933138,981619,3024999,1473214,1551785,1407439,685575,721864
2005,UKR,UKR2005,1827949,890999,936950,2869702,1397888,1471814,1359304,662030,697274
2006,UKR,UKR2006,1752267,854427,897840,2721698,1326401,1395297,1301495,633881,667614
2007,UKR,UKR2007,1680980,819740,861240,2583971,1259637,1324334,1249173,608552,640621
2008,UKR,UKR2008,1623538,791581,831957,2452031,1195870,1256161,1186961,578447,608514
2009,UKR,UKR2009,1582232,770869,811363,2331652,1137826,1193826,1118431,545184,573247
2010,UKR,UKR2010,1558699,758364,800335,2224086,1085734,1138352,1053912,513754,540158
2011,UKR,UKR2011,1553568,754527,799041,2129005,1039020,1089985,999987,487432,512555
2012,UKR,UKR2012,1570781,762373,808408,2053941,1002143,1051798,952063,464514,487549
2013,UKR,UKR2013,1620320,785965,834355,1997930,973686,1024244,906450,442515,463935
2014,UKR,UKR2014,1701347,825047,876300,1960676,953859,1006817,866060,422822,443238
2015,UKR,UKR2015,,,,,,,,,
2016,UKR,UKR2016,,,,,,,,,
2017,UKR,UKR2017,,,,,,,,,
2018,UKR,UKR2018,,,,,,,,,
2019,UKR,UKR2019,,,,,,,,,
2020,UKR,UKR2020,,,,,,,,,
2021,UKR,UKR2021,,,,,,,,,
2022,UKR,UKR2022,,,,,,,,,
1980,ARE,ARE1980,87912,42300,45612,30091,14234,15857,30947,13317,17630
1981,ARE,ARE1981,100129,48965,51164,31961,15294,16667,29638,13786,15852
1982,ARE,ARE1982,112195,54684,57511,35869,17145,18724,35565,16257,19308
1983,ARE,ARE1983,123627,60432,63195,39056,19070,19986,38669,17731,20938
1984,ARE,ARE1984,135024,66343,68681,42841,21283,21558,38802,18287,20515
1985,ARE,ARE1985,147290,72507,74783,47567,23628,23939,38059,18586,19473
1986,ARE,ARE1986,161311,79000,82311,52989,25922,27067,39095,19485,19610
1987,ARE,ARE1987,172748,85511,87237,63065,29965,33100,50794,23295,27499
1988,ARE,ARE1988,182314,90673,91641,70862,33448,37414,61413,27014,34399
1989,ARE,ARE1989,191186,95031,96155,76681,36317,40364,69983,30300,39683
1990,ARE,ARE1990,200795,99359,101436,80749,38668,42081,76527,33239,43288
1991,ARE,ARE1991,212337,104338,107999,83574,40716,42858,81155,35816,45339
1992,ARE,ARE1992,225237,109931,115306,86746,42832,43914,86306,38473,47833
1993,ARE,ARE1993,238245,115667,122578,91168,45321,45847,88696,40500,48196
1994,ARE,ARE1994,250325,121151,129174,97757,48452,49305,88982,42064,46918
1995,ARE,ARE1995,259864,125727,134137,106195,52082,54113,89319,43650,45669
1996,ARE,ARE1996,266039,128894,137145,115154,55747,59407,92611,45963,46648
1997,ARE,ARE1997,276381,134086,142295,120700,58048,62652,107919,50287,57632
1998,ARE,ARE1998,290670,140671,149999,123675,59947,63728,117027,53406,63621
1999,ARE,ARE1999,,,,129047,62631,66416,119300,55086,64214
2000,ARE,ARE2000,,,,138929,66626,72303,118621,56271,62350
2001,ARE,ARE2001,,,,152396,71745,80651,121685,58621,63064
2002,ARE,ARE2002,,,,154750,74192,80558,142998,65964,77034
2003,ARE,ARE2003,,,,201390,100073,101317,152636,70499,82137
2004,ARE,ARE2004,,,,198366,100027,98339,152435,72462,79973
2005,ARE,ARE2005,,,,203844,101282,102562,149197,73251,75946
2006,ARE,ARE2006,,,,216764,103749,113015,150266,74482,75784
2007,ARE,ARE2007,279589,134976,144613,220288,106791,113497,188603,82916,105687
2008,ARE,ARE2008,,,,222147,109934,112213,207414,88476,118938
2009,ARE,ARE2009,,,,231509,114759,116750,202776,90484,112292
2010,ARE,ARE2010,,,,248094,121146,126948,182536,90112,92424
2011,ARE,ARE2011,,,,262847,127584,135263,165868,90203,75665
2012,ARE,ARE2012,364223,175365,188858,274810,130070,144740,194116,96593,97523
2013,ARE,ARE2013,381738,183428,198310,271741,130408,141333,210614,99797,110817
2014,ARE,ARE2014,397557,192514,205043,266925,131040,135885,208809,99008,109801
2015,ARE,ARE2015,413272,202016,211256,269156,133234,135922,196032,95830,100202
2016,ARE,ARE2016,430396,210959,219437,279250,136957,142293,183824,92998,90826
2017,ARE,ARE2017,448431,222023,226408,294207,145636,148571,209357,99936,109421
2018,ARE,ARE2018,467246,231198,236048,304340,153192,151148,224258,105169,119089
2019,ARE,ARE2019,483932,238268,245664,317829,160580,157249,226667,108346,118321
2020,ARE,ARE2020,400803,196981,203822,355806,175285,180521,298017,149758,148259
2021,ARE,ARE2021,407838,199774,208064,372892,181502,191390,300170,154380,145790
2022,ARE,ARE2022,416609,203790,212819,385547,189121,196426,340603,166091,174512
1980,GBR,GBR1980,4921852,2393221,2528631,2811672,1368831,1442841,3824388,1865746,1958642
1981,GBR,GBR1981,4724862,2297128,2427734,2759680,1342935,1416745,3838666,1872285,1966381
1982,GBR,GBR1982,4550516,2213207,2337309,2683150,1306390,1376760,3818507,1864782,1953725
1983,GBR,GBR1983,4393820,2137673,2256147,2590847,1261960,1328887,3772794,1843670,1929124
1984,GBR,GBR1984,4262173,2074216,2187957,2491369,1213832,1277537,3707041,1811830,1895211
1985,GBR,GBR1985,4160608,2025301,2135307,2391943,1165401,1226542,3618170,1768150,1850020
1986,GBR,GBR1986,4088150,1990445,2097705,2298657,1119727,1178930,3508251,1713966,1794285
1987,GBR,GBR1987,4048931,1972662,2076269,2220193,1081360,1138833,3381370,1653334,1728036
1988,GBR,GBR1988,4056214,1977527,2078687,2154970,1049546,1105424,3255765,1591596,1664169
1989,GBR,GBR1989,4110560,2005276,2105284,2096625,1021391,1075234,3138736,1532807,1605929
1990,GBR,GBR1990,4200072,2050115,2149957,2045353,996859,1048494,3032541,1479162,1553379
1991,GBR,GBR1991,4297003,2098563,2198440,2014982,982627,1032355,2936771,1431369,1505402
1992,GBR,GBR1992,4376913,2138927,2237986,2019916,986995,1032921,2847874,1391908,1455966
1993,GBR,GBR1993,4446928,2173752,2273176,2050014,1002833,1047181,2769948,1357355,1412593
1994,GBR,GBR1994,4502864,2201253,2301611,2092915,1024192,1068723,2715629,1333218,1382411
1995,GBR,GBR1995,4544700,2221565,2323135,2139269,1046604,1092665,2697331,1325479,1371852
1996,GBR,GBR1996,4579728,2238259,2341469,2184396,1067982,1116414,2717955,1335510,1382445
1997,GBR,GBR1997,4608888,2252104,2356784,2212473,1081972,1130501,2771704,1362720,1408984
1998,GBR,GBR1998,4627532,2260182,2367350,2237335,1094041,1143294,2828653,1390118,1438535
1999,GBR,GBR1999,4630278,2260129,2370149,2265496,1107252,1158244,2877123,1412376,1464747
2000,GBR,GBR2000,4615068,2251205,2363863,2296385,1121244,1175141,2919452,1431008,1488444
2001,GBR,GBR2001,4585567,2235477,2350090,2322135,1132366,1189769,2960454,1448648,1511806
2002,GBR,GBR2002,4544203,2215138,2329065,2336678,1138136,1198542,3034806,1482830,1551976
2003,GBR,GBR2003,4488462,2188040,2300422,2336048,1136805,1199243,3091273,1507611,1583662
2004,GBR,GBR2004,4423208,2156561,2266647,2328089,1132361,1195728,3128676,1522668,1606008
2005,GBR,GBR2005,4356761,2124838,2231923,2316432,1126545,1189887,3148166,1529353,1618813
2006,GBR,GBR2006,4299685,2098134,2201551,2299469,1118540,1180929,3154076,1530430,1623646
2007,GBR,GBR2007,4270785,2084722,2186063,2284564,1112834,1171730,3174989,1546229,1628760
2008,GBR,GBR2008,4249896,2074683,2175213,2266128,1104791,1161337,3180759,1552412,1628347
2009,GBR,GBR2009,4236028,2067699,2168329,2248284,1096770,1151514,3172150,1549433,1622717
2010,GBR,GBR2010,4229264,2064034,2165230,2230937,1088640,1142297,3150966,1538989,1611977
2011,GBR,GBR2011,4232521,2065516,2167005,2211378,1079037,1132341,3121409,1524008,1597401
2012,GBR,GBR2012,4257647,2078588,2179059,2191467,1069884,1121583,3105233,1516811,1588422
2013,GBR,GBR2013,4315257,2107272,2207985,2166908,1058121,1108787,3082056,1506400,1575656
2014,GBR,GBR2014,4410009,2153955,2256054,2137997,1044005,1093992,3049911,1491290,1558621
2015,GBR,GBR2015,4533902,2214833,2319069,2110271,1030362,1079909,3008963,1471516,1537447
2016,GBR,GBR2016,4659434,2276465,2382969,2100533,1025488,1075045,2959748,1447319,1512429
2017,GBR,GBR2017,4765265,2328527,2436738,2145671,1048178,1097493,2928800,1432502,1496298
2018,GBR,GBR2018,4844275,2366996,2477279,2209516,1079919,1129597,2901850,1419600,1482250
2019,GBR,GBR2019,4895201,2391364,2503837,2276049,1112770,1163279,2894158,1416169,1477989
2020,GBR,GBR2020,4920594,2403038,2517556,2334468,1141391,1193077,2914470,1426370,1488100
2021,GBR,GBR2021,4931759,2407776,2523983,2381277,1164058,1217219,2961761,1449569,1512192
2022,GBR,GBR2022,4942571,2412781,2529790,2423732,1184574,1239158,3041071,1488128,1552943
1980,TZA,TZA1980,3507657,1741036,1766621,1638241,814126,824115,732441,364378,368063
1981,TZA,TZA1981,3622231,1797719,1824512,1692303,840761,851542,755819,376083,379736
1982,TZA,TZA1982,3743709,1857817,1885892,1750287,869198,881089,781096,388634,392462
1983,TZA,TZA1983,3869634,1920109,1949525,1810839,898892,911947,808289,402014,406275
1984,TZA,TZA1984,3995981,1982613,2013368,1873049,929504,943545,837048,416090,420958
1985,TZA,TZA1985,4118094,2043059,2075035,1936865,961079,975786,866982,430690,436292
1986,TZA,TZA1986,4249500,2108029,2141471,1998857,992029,1006828,895631,444779,450852
1987,TZA,TZA1987,4382915,2174084,2208831,2063254,1024114,1039140,924913,459307,465606
1988,TZA,TZA1988,4517854,2241033,2276821,2130930,1057718,1073212,955536,474587,480949
1989,TZA,TZA1989,4654146,2308821,2345325,2203198,1093564,1109634,988524,491026,497498
1990,TZA,TZA1990,4789302,2376226,2413076,2280990,1132194,1148796,1024027,508656,515371
1991,TZA,TZA1991,4945246,2453816,2491430,2362883,1172973,1189910,1060467,526809,533658
1992,TZA,TZA1992,5112758,2537355,2575403,2450716,1216693,1234023,1100144,546612,553532
1993,TZA,TZA1993,5285754,2623749,2662005,2539592,1260964,1278628,1141873,567433,574440
1994,TZA,TZA1994,5455367,2708406,2746961,2625282,1303733,1321549,1184106,588461,595645
1995,TZA,TZA1995,5613438,2787108,2826330,2706345,1344316,1362029,1225954,609224,616730
1996,TZA,TZA1996,5768228,2864632,2903596,2776032,1379713,1396319,1262014,627314,634700
1997,TZA,TZA1997,5920849,2940726,2980123,2844989,1414582,1430407,1295680,644312,651368
1998,TZA,TZA1998,6071856,3015615,3056241,2915987,1450284,1465703,1327898,660621,667277
1999,TZA,TZA1999,6220835,3089139,3131696,2990875,1487847,1503028,1361024,677332,683692
2000,TZA,TZA2000,6365459,3160198,3205261,3070695,1527892,1542803,1396072,694908,701164
2001,TZA,TZA2001,6530318,3241355,3288963,3154021,1570035,1583986,1431800,712947,718853
2002,TZA,TZA2002,6693210,3321705,3371505,3240176,1613432,1626744,1470098,732362,737736
2003,TZA,TZA2003,6851310,3399988,3451322,3328376,1657488,1670888,1511193,753143,758050
2004,TZA,TZA2004,7004932,3476289,3528643,3419088,1702324,1716764,1554509,774902,779607
2005,TZA,TZA2005,7154131,3550501,3603630,3513043,1748323,1764720,1599348,797293,802055
2006,TZA,TZA2006,7300128,3623467,3676661,3599532,1790741,1808791,1639047,817225,821822
2007,TZA,TZA2007,7470165,3708013,3762152,3691001,1835322,1855679,1681218,838127,843091
2008,TZA,TZA2008,7674052,3808948,3865104,3781460,1879501,1901959,1725525,859803,865722
2009,TZA,TZA2009,7914244,3927607,3986637,3866525,1921436,1945089,1772434,882647,889787
2010,TZA,TZA2010,8186667,4062175,4124492,3945790,1961088,1984702,1823468,907503,915965
2011,TZA,TZA2011,8484058,4207896,4276162,4016799,1996816,2019983,1871409,930908,940501
2012,TZA,TZA2012,8807974,4366618,4441356,4100114,2038563,2061551,1913818,951951,961867
2013,TZA,TZA2013,9142320,4530389,4611931,4207608,2091930,2115678,1951219,970802,980417
2014,TZA,TZA2014,9474374,4692790,4781584,4343679,2159030,2184649,1989686,990137,999549
2015,TZA,TZA2015,9799639,4851455,4948184,4506848,2239156,2267692,2031031,1010690,1020341
2016,TZA,TZA2016,10127537,5011655,5115882,4687589,2328275,2359314,2079062,1034702,1044360
2017,TZA,TZA2017,10441491,5164900,5276591,4877006,2421283,2455723,2145725,1067721,1078004
2018,TZA,TZA2018,10737827,5309703,5428124,5067289,2514353,2552936,2231709,1110014,1121695
2019,TZA,TZA2019,10737827,5309703,5428124,5067289,2514353,2552936,2231709,1110014,1121695
2020,TZA,TZA2020,11273929,5573033,5700896,5450950,2701262,2749688,2421658,1203059,1218599
2021,TZA,TZA2021,11524211,5696600,5827611,5640979,2793987,2846992,2516756,1249732,1267024
2022,TZA,TZA2022,11770135,5818531,5951604,5829690,2885995,2943695,2612189,1296479,1315710
1980,USA,USA1980,20908686,10100699,10807987,11723514,5639451,6084063,12698830,6127005,6571825
1981,USA,USA1981,20703262,9984747,10718515,11457445,5484131,5973314,12526043,6010056,6515987
1982,USA,USA1982,20510218,9915692,10594526,11193892,5362604,5831288,12234036,5873749,6360287
1983,USA,USA1983,20362598,9858751,10503847,10991110,5271779,5719331,11925006,5724240,6200766
1984,USA,USA1984,20266889,9817658,10449231,10827647,5202917,5624730,11635948,5579820,6056128
1985,USA,USA1985,20226414,9795871,10430543,10680346,5145060,5535286,11385113,5455487,5929626
1986,USA,USA1986,20234005,9794733,10439272,10542620,5092588,5450032,11183365,5362422,5820943
1987,USA,USA1987,20356082,9869884,10486198,10451049,5062124,5388925,11011322,5297579,5713743
1988,USA,USA1988,20530100,9976449,10553651,10403079,5047759,5355320,10869825,5249623,5620202
1989,USA,USA1989,20751099,10107574,10643525,10388422,5048611,5339811,10755235,5212086,5543149
1990,USA,USA1990,21011337,10254027,10757310,10395593,5061627,5333966,10675269,5186729,5488540
1991,USA,USA1991,21294311,10402814,10891497,10421631,5084949,5336682,10630990,5174292,5456698
1992,USA,USA1992,21704366,10605691,11098675,10509573,5128995,5380578,10592223,5165481,5426742
1993,USA,USA1993,22113955,10807572,11306383,10650480,5196091,5454389,10611402,5177074,5434328
1994,USA,USA1994,22510952,11001268,11509684,10825489,5281142,5544347,10689685,5211253,5478432
1995,USA,USA1995,22883952,11180402,11703550,11023736,5380617,5643119,10825609,5270942,5554667
1996,USA,USA1996,23219396,11338495,11880901,11237578,5489573,5748005,11004742,5355081,5649661
1997,USA,USA1997,23639643,11538867,12100776,11448092,5591548,5856544,11167099,5443206,5723893
1998,USA,USA1998,24074629,11750745,12323884,11680536,5700425,5980111,11373746,5548486,5825260
1999,USA,USA1999,24465542,11937933,12527609,11830256,5767585,6062671,11948075,5790333,6157742
2000,USA,USA2000,24792203,12094035,12698168,12032025,5866191,6165834,11990992,5810904,6180088
2001,USA,USA2001,24966511,12178675,12787836,12167203,5933480,6233723,12096348,5861766,6234582
2002,USA,USA2002,24885491,12139415,12746076,12356516,6027140,6329376,12220918,5927625,6293293
2003,USA,USA2003,24574766,11991920,12582846,12721885,6202836,6519049,12373427,6007814,6365613
2004,USA,USA2004,24256372,11840815,12415557,12956264,6317624,6638640,12472108,6060479,6411629
2005,USA,USA2005,23984302,11708417,12275885,13052008,6366753,6685255,12645933,6146458,6499475
2006,USA,USA2006,23795289,11621646,12173643,12913229,6299153,6614076,13004623,6318562,6686061
2007,USA,USA2007,23757181,11605070,12152111,12770063,6229086,6540977,13241005,6434123,6806882
2008,USA,USA2008,23903332,11683773,12219559,12658832,6171985,6486847,13337790,6484493,6853297
2009,USA,USA2009,24054373,11762685,12291688,12557587,6126144,6431443,13197218,6416594,6780624
2010,USA,USA2010,24311929,11888900,12423029,12460869,6083020,6377849,13046586,6344004,6702582
2011,USA,USA2011,24581640,12023856,12557784,12367020,6042744,6324276,12857838,6253272,6604566
2012,USA,USA2012,24587147,12029120,12558027,12389536,6052910,6336626,12672291,6173463,6498828
2013,USA,USA2013,24551350,12012077,12539273,12500984,6105161,6395823,12549789,6121582,6428207
2014,USA,USA2014,24618781,12043990,12574791,12512456,6114163,6398293,12486143,6097238,6388905
2015,USA,USA2015,24711585,12094640,12616945,12477327,6107934,6369393,12526820,6121945,6404875
2016,USA,USA2016,24682662,12084205,12598457,12373716,6062943,6310773,12641901,6178523,6463378
2017,USA,USA2017,24674250,12078171,12596079,12373914,6062962,6310952,12676493,6198173,6478320
2018,USA,USA2018,24648236,12060981,12587255,12424750,6085512,6339238,12628095,6181748,6446347
2019,USA,USA2019,24545593,12009651,12535942,12488300,6112286,6376014,12510078,6129353,6380725
2020,USA,USA2020,24391331,11932328,12459003,12566399,6148704,6417695,12489319,6119994,6369325
2021,USA,USA2021,,,,,,,,,
2022,USA,USA2022,,,,,,,,,
1980,VIR,VIR1980,,,,,,,,,
1981,VIR,VIR1981,,,,,,,,,
1982,VIR,VIR1982,13909,6889,7020,7804,3909,3895,7186,3629,3557
1983,VIR,VIR1983,13450,6652,6798,7466,3736,3730,7116,3592,3524
1984,VIR,VIR1984,13021,6435,6586,7103,3544,3559,6967,3513,3454
1985,VIR,VIR1985,12610,6232,6378,6851,3404,3447,6747,3397,3350
1986,VIR,VIR1986,12245,6061,6184,6747,3338,3409,6525,3275,3250
1987,VIR,VIR1987,12025,5955,6070,6508,3217,3291,6201,3104,3097
1988,VIR,VIR1988,12072,5975,6097,6302,3113,3189,6070,3028,3042
1989,VIR,VIR1989,12266,6068,6198,6160,3044,3116,6094,3028,3066
1990,VIR,VIR1990,12411,6144,6267,6098,3013,3085,6174,3059,3115
1991,VIR,VIR1991,12251,6082,6169,6110,3019,3091,6215,3077,3138
1992,VIR,VIR1992,12033,6014,6019,5839,2893,2946,5923,2944,2979
1993,VIR,VIR1993,11798,5943,5855,5662,2820,2842,5592,2790,2802
1994,VIR,VIR1994,11492,5835,5657,5582,2804,2778,5291,2646,2645
1995,VIR,VIR1995,11100,5675,5425,5611,2851,2760,5074,2543,2531
1996,VIR,VIR1996,10678,5487,5191,5711,2933,2778,5000,2524,2476
1997,VIR,VIR1997,10645,5442,5203,5673,2923,2750,4961,2532,2429
1998,VIR,VIR1998,,,,,,,,,
1999,VIR,VIR1999,,,,,,,,,
2000,VIR,VIR2000,,,,,,,,,
2001,VIR,VIR2001,,,,,,,,,
2002,VIR,VIR2002,,,,,,,,,
2003,VIR,VIR2003,,,,,,,,,
2004,VIR,VIR2004,,,,,,,,,
2005,VIR,VIR2005,,,,,,,,,
2006,VIR,VIR2006,,,,,,,,,
2007,VIR,VIR2007,,,,,,,,,
2008,VIR,VIR2008,,,,,,,,,
2009,VIR,VIR2009,,,,,,,,,
2010,VIR,VIR2010,,,,,,,,,
2011,VIR,VIR2011,,,,,,,,,
2012,VIR,VIR2012,,,,,,,,,
2013,VIR,VIR2013,,,,,,,,,
2014,VIR,VIR2014,,,,,,,,,
2015,VIR,VIR2015,,,,,,,,,
2016,VIR,VIR2016,,,,,,,,,
2017,VIR,VIR2017,,,,,,,,,
2018,VIR,VIR2018,,,,,,,,,
2019,VIR,VIR2019,,,,,,,,,
2020,VIR,VIR2020,,,,,,,,,
2021,VIR,VIR2021,,,,,,,,,
2022,VIR,VIR2022,,,,,,,,,
1980,URY,URY1980,309704,151443,158261,142799,70220,72579,148938,73696,75242
1981,URY,URY1981,316277,154658,161619,142035,69850,72185,145622,72084,73538
1982,URY,URY1982,321939,157411,164528,144037,70798,73239,142360,70480,71880
1983,URY,URY1983,326642,159718,166924,147575,72448,75127,140290,69425,70865
1984,URY,URY1984,330291,161583,168708,151432,74200,77232,140150,69284,70866
1985,URY,URY1985,332981,163066,169915,154981,75773,79208,142291,70218,72073
1986,URY,URY1986,334744,164159,170585,158452,77434,81018,145985,71923,74062
1987,URY,URY1987,334004,163940,170064,161141,78807,82334,149904,73703,76201
1988,URY,URY1988,330784,162410,168374,163278,79968,83310,153532,75335,78197
1989,URY,URY1989,325380,159692,165688,165403,81132,84271,156883,76875,80008
1990,URY,URY1990,318901,156356,162545,167395,82193,85202,159802,78289,81513
1991,URY,URY1991,313293,153562,159731,167459,82296,85163,162006,79450,82556
1992,URY,URY1992,310163,151968,158195,165544,81348,84196,164304,80677,83627
1993,URY,URY1993,309660,151657,158003,162325,79708,82617,166211,81683,84528
1994,URY,URY1994,311800,152645,159155,158489,77752,80737,166633,81915,84718
1995,URY,URY1995,315756,154540,161216,154871,75911,78960,164833,80995,83838
1996,URY,URY1996,319578,156403,163175,152815,74874,77941,161502,79319,82183
1997,URY,URY1997,323252,158187,165065,152941,74915,78026,157609,77353,80256
1998,URY,URY1998,326588,159813,166775,154431,75633,78798,154195,75634,78561
1999,URY,URY1999,329253,161124,168129,156197,76492,79705,152026,74541,77485
2000,URY,URY2000,330904,161962,168942,157609,77184,80425,151754,74394,77360
2001,URY,URY2001,331730,162402,169328,158799,77779,81020,152261,74670,77591
2002,URY,URY2002,330844,162017,168827,159812,78296,81516,153226,75164,78062
2003,URY,URY2003,328347,160847,167500,160640,78727,81913,154205,75651,78554
2004,URY,URY2004,324559,159025,165534,161513,79180,82333,155393,76231,79162
2005,URY,URY2005,320124,156855,163269,162418,79636,82782,156720,76873,79847
2006,URY,URY2006,315806,154788,161018,162516,79697,82819,157749,77406,80343
2007,URY,URY2007,312062,152979,159083,161798,79341,82457,159069,78056,81013
2008,URY,URY2008,308803,151383,157420,160462,78690,81772,160405,78688,81717
2009,URY,URY2009,305871,149907,155964,158757,77873,80884,161105,78999,82106
2010,URY,URY2010,303022,148427,154595,156920,76994,79926,160668,78763,81905
2011,URY,URY2011,300016,146889,153127,155278,76211,79067,159306,78135,81171
2012,URY,URY2012,296591,145142,151449,153873,75505,78368,157582,77332,80250
2013,URY,URY2013,292867,143246,149621,152566,74820,77746,155889,76528,79361
2014,URY,URY2014,289023,141292,147731,151271,74129,77142,154365,75780,78585
2015,URY,URY2015,285359,139430,145929,149898,73395,76503,153091,75115,77976
2016,URY,URY2016,282392,137963,144429,148230,72546,75684,151749,74427,77322
2017,URY,URY2017,280574,137079,143495,146362,71598,74764,150543,73792,76751
2018,URY,URY2018,279946,136806,143140,144373,70589,73784,149291,73135,76156
2019,URY,URY2019,280462,137119,143343,142303,69538,72765,147814,72361,75453
2020,URY,URY2020,281701,137788,143913,140369,68550,71819,145969,71405,74564
2021,URY,URY2021,282850,138435,144415,139215,67989,71226,143865,70356,73509
2022,URY,URY2022,283603,138846,144757,139030,67927,71103,141722,69278,72444
1980,UZB,UZB1980,1209942,598788,611154,1916508,948422,968086,776839,384913,391926
1981,UZB,UZB1981,1240877,614456,626421,1923074,951789,971285,775644,384203,391441
1982,UZB,UZB1982,1272234,630041,642193,1938124,960286,977838,767390,380502,386888
1983,UZB,UZB1983,1302430,644583,657847,1967135,975362,991773,756881,375597,381284
1984,UZB,UZB1984,1329131,657043,672088,2009308,996480,1012828,747660,371393,376267
1985,UZB,UZB1985,1353840,668392,685448,2057448,1020086,1037362,749013,372431,376582
1986,UZB,UZB1986,1379453,680302,699151,2103539,1042283,1061256,763484,379787,383697
1987,UZB,UZB1987,1414398,696878,717520,2146736,1062577,1084159,782704,389271,393433
1988,UZB,UZB1988,1453990,716227,737763,2190803,1083162,1107641,803224,399230,403994
1989,UZB,UZB1989,1498094,738342,759752,2237402,1104936,1132466,824671,409413,415258
1990,UZB,UZB1990,1544957,762144,782813,2290011,1129778,1160233,843971,418319,425652
1991,UZB,UZB1991,1591707,785929,805778,2350592,1158925,1191667,860992,425980,435012
1992,UZB,UZB1992,1639133,809718,829415,2409533,1188089,1221444,874905,432224,442681
1993,UZB,UZB1993,1691878,835732,856146,2478075,1222344,1255731,892194,440054,452140
1994,UZB,UZB1994,1748602,863284,885318,2554167,1260639,1293528,912542,449535,463007
1995,UZB,UZB1995,1805193,890484,914709,2636243,1301960,1334283,937320,461679,475641
1996,UZB,UZB1996,2439640,1202981,1236659,2632268,1300327,1331941,934126,460149,473977
1997,UZB,UZB1997,2500800,1231858,1268942,2715696,1342581,1373115,962149,474904,487245
1998,UZB,UZB1998,2552644,1255405,1297239,2804863,1386854,1418009,992880,490970,501910
1999,UZB,UZB1999,2590248,1271103,1319145,2898307,1432575,1465732,1023822,506991,516831
2000,UZB,UZB2000,2609928,1277416,1332512,2990601,1477204,1513397,1056339,523598,532741
2001,UZB,UZB2001,2611402,1274819,1336583,3073561,1516584,1556977,1092908,541837,551071
2002,UZB,UZB2002,2608448,1270440,1338008,3141097,1547496,1593601,1132354,561208,571146
2003,UZB,UZB2003,2583560,1256556,1327004,3191489,1569358,1622131,1170687,579904,590783
2004,UZB,UZB2004,2531817,1231185,1300632,3227428,1583192,1644236,1206685,597453,609232
2005,UZB,UZB2005,2455876,1195488,1260388,3249668,1589586,1660082,1830609,906197,924412
2006,UZB,UZB2006,2367105,1154246,1212859,3252371,1586744,1665627,1874621,926284,948337
2007,UZB,UZB2007,2288738,1117687,1171051,3223862,1570994,1652868,1907022,939969,967053
2008,UZB,UZB2008,2215134,1082877,1132257,3169568,1543808,1625760,1929033,947849,981184
2009,UZB,UZB2009,2150288,1051599,1098689,3090943,1506065,1584878,1945463,952598,992865
2010,UZB,UZB2010,2098249,1025846,1072403,2997098,1461847,1535251,1953292,953465,999827
2011,UZB,UZB2011,2060679,1006764,1053915,2901127,1416605,1484522,1943144,946587,996557
2012,UZB,UZB2012,2030445,991783,1038662,2805188,1371078,1434110,1903207,927030,976177
2013,UZB,UZB2013,2029297,990787,1038510,2721468,1330838,1390630,1849129,901554,947575
2014,UZB,UZB2014,2065385,1007763,1057622,2647317,1294660,1352657,1789872,873907,915965
2015,UZB,UZB2015,2136055,1041515,1094540,2584823,1263742,1321081,1731517,846515,885002
2016,UZB,UZB2016,2225519,1084478,1141041,2545337,1243890,1301447,1675467,819879,855588
2017,UZB,UZB2017,2307164,1123577,1183587,2544667,1242899,1301768,1626149,795906,830243
2018,UZB,UZB2018,2384253,1160700,1223553,2576252,1257608,1318644,1581370,773816,807554
2019,UZB,UZB2019,2451471,1193368,1258103,2642255,1288990,1353265,1538694,752699,785995
2020,UZB,UZB2020,2506822,1220556,1286266,2734012,1332844,1401168,1506102,736548,769554
2021,UZB,UZB2021,2553795,1243756,1310039,2833123,1380379,1452744,1497948,732226,765722
2022,UZB,UZB2022,2603552,1268066,1335486,2923330,1424006,1499324,1523642,744373,779269
1980,VUT,VUT1980,19661,9244,10417,11449,5370,6079,7717,3667,4050
1981,VUT,VUT1981,20056,9452,10604,11553,5431,6122,7823,3726,4097
1982,VUT,VUT1982,20524,9686,10838,11672,5502,6170,7887,3766,4121
