year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
2009,DZA,DZA2009,2894886,1416774,1478112,2674757,1310662,1364095,2252324,1105484,1146840
2010,DZA,DZA2010,2871952,1405721,1466231,2558317,1253142,1305175,2203758,1081835,1121923
2011,DZA,DZA2011,2885216,1412387,1472829,2458434,1203523,1254911,2131781,1046236,1085545
2012,DZA,DZA2012,2923103,1431499,1491604,2374127,1161835,1212292,2038111,999901,1038210
2013,DZA,DZA2013,3018933,1478793,1540140,2317534,1133893,1183641,1946963,954368,992595
2014,DZA,DZA2014,3177399,1556533,1620866,2281973,1116587,1165386,1866729,913967,952762
2015,DZA,DZA2015,3387558,1659384,1728174,2265954,1109147,1156807,1799883,880282,919601
2016,DZA,DZA2016,3617987,1772097,1845890,2282600,1117782,1164818,1750546,855733,894813
2017,DZA,DZA2017,3832351,1876989,1955362,2356541,1154396,1202145,1717858,840112,877746
2018,DZA,DZA2018,4031562,1974407,2057155,2478959,1214539,1264420,1693099,828593,864506
2019,DZA,DZA2019,4208050,2060626,2147424,2637431,1292210,1345221,1685026,825212,859814
2020,DZA,DZA2020,4360417,2134977,2225440,2812321,1377890,1434431,1713711,839686,874025
2021,DZA,DZA2021,4497034,2201637,2295397,2983112,1461558,1521554,1792844,878622,914222
2022,DZA,DZA2022,4632798,2267883,2364915,3138900,1537788,1601112,1906843,934517,972326
1980,ASM,ASM1980,,,,,,,,,
1981,ASM,ASM1981,6738,3195,3543,,,,,,
1982,ASM,ASM1982,6835,3304,3531,,,,,,
1983,ASM,ASM1983,6960,3409,3551,,,,,,
1984,ASM,ASM1984,7110,3493,3617,,,,,,
1985,ASM,ASM1985,7280,3557,3723,,,,,,
1986,ASM,ASM1986,7478,3606,3872,,,,,,
1987,ASM,ASM1987,7783,3679,4104,,,,,,
1988,ASM,ASM1988,8107,3782,4325,,,,,,
1989,ASM,ASM1989,8415,3906,4509,1856,925,931,1853,932,921
1990,ASM,ASM1990,8670,4035,4635,1926,934,992,1861,934,927
1991,ASM,ASM1991,8857,4152,4705,2006,948,1058,1897,937,960
1992,ASM,ASM1992,9031,4278,4753,2043,951,1092,1936,939,997
1993,ASM,ASM1993,9229,4410,4819,2058,952,1106,1963,937,1026
1994,ASM,ASM1994,9452,4540,4912,2064,960,1104,1973,932,1041
1995,ASM,ASM1995,9693,4663,5030,2093,984,1109,1974,928,1046
1996,ASM,ASM1996,9918,4772,5146,2162,1025,1137,1991,941,1050
1997,ASM,ASM1997,10094,4873,5221,2203,1045,1158,2026,960,1066
1998,ASM,ASM1998,,,,,,,,,
1999,ASM,ASM1999,,,,,,,,,
2000,ASM,ASM2000,,,,,,,,,
2001,ASM,ASM2001,,,,,,,,,
2002,ASM,ASM2002,,,,,,,,,
2003,ASM,ASM2003,,,,,,,,,
2004,ASM,ASM2004,,,,,,,,,
2005,ASM,ASM2005,,,,,,,,,
2006,ASM,ASM2006,8781,4203,4578,,,,,,
2007,ASM,ASM2007,,,,,,,,,
2008,ASM,ASM2008,,,,,,,,,
2009,ASM,ASM2009,,,,,,,,,
2010,ASM,ASM2010,,,,,,,,,
2011,ASM,ASM2011,,,,,,,,,
2012,ASM,ASM2012,,,,,,,,,
2013,ASM,ASM2013,,,,,,,,,
2014,ASM,ASM2014,,,,,,,,,
2015,ASM,ASM2015,,,,,,,,,
2016,ASM,ASM2016,,,,,,,,,
2017,ASM,ASM2017,,,,,,,,,
2018,ASM,ASM2018,,,,,,,,,
2019,ASM,ASM2019,,,,,,,,,
2020,ASM,ASM2020,,,,,,,,,
2021,ASM,ASM2021,,,,,,,,,
2022,ASM,ASM2022,,,,,,,,,
1980,AND,AND1980,3498,1695,1803,2729,1286,1443,1624,713,911
1981,AND,AND1981,3603,1749,1854,3147,1501,1646,1642,728,914
1982,AND,AND1982,3387,1644,1743,3115,1496,1619,1930,893,1037
1983,AND,AND1983,3244,1571,1673,2988,1444,1544,2101,996,1105
1984,AND,AND1984,3155,1521,1634,2861,1386,1475,2092,1003,1089
1985,AND,AND1985,3151,1511,1640,2807,1361,1446,1971,949,1022
1986,AND,AND1986,3273,1561,1712,2824,1367,1457,1857,894,963
1987,AND,AND1987,3249,1551,1698,2909,1406,1503,2046,982,1064
1988,AND,AND1988,3227,1547,1680,2929,1412,1517,2200,1056,1144
1989,AND,AND1989,3216,1548,1668,2928,1408,1520,2293,1100,1193
1990,AND,AND1990,3222,1560,1662,2932,1413,1519,2329,1119,1210
1991,AND,AND1991,3256,1584,1672,2947,1424,1523,2334,1121,1213
1992,AND,AND1992,3221,1568,1653,2921,1405,1516,2390,1153,1237
1993,AND,AND1993,3212,1562,1650,2870,1377,1493,2398,1154,1244
1994,AND,AND1994,3219,1559,1660,2816,1357,1459,2354,1123,1231
1995,AND,AND1995,3234,1555,1679,2766,1344,1422,2265,1072,1193
1996,AND,AND1996,3259,1554,1705,2718,1332,1386,2166,1023,1143
1997,AND,AND1997,3924,1878,2046,2666,1306,1360,2113,1011,1102
1998,AND,AND1998,3913,1879,2034,2625,1287,1338,1378,665,713
1999,AND,AND1999,,,,,,,,,
2000,AND,AND2000,,,,,,,,,
2001,AND,AND2001,,,,,,,,,
2002,AND,AND2002,,,,,,,,,
2003,AND,AND2003,,,,,,,,,
2004,AND,AND2004,,,,,,,,,
2005,AND,AND2005,,,,,,,,,
2006,AND,AND2006,,,,,,,,,
2007,AND,AND2007,,,,,,,,,
2008,AND,AND2008,,,,,,,,,
2009,AND,AND2009,,,,,,,,,
2010,AND,AND2010,,,,,,,,,
2011,AND,AND2011,,,,,,,,,
2012,AND,AND2012,,,,,,,,,
2013,AND,AND2013,,,,,,,,,
2014,AND,AND2014,,,,,,,,,
2015,AND,AND2015,,,,,,,,,
2016,AND,AND2016,,,,,,,,,
2017,AND,AND2017,,,,,,,,,
2018,AND,AND2018,,,,,,,,,
2019,AND,AND2019,,,,,,,,,
2020,AND,AND2020,,,,,,,,,
2021,AND,AND2021,,,,,,,,,
2022,AND,AND2022,,,,,,,,,
1980,AGO,AGO1980,995375,500332,495043,783410,392653,390757,560252,270146,290106
1981,AGO,AGO1981,1052849,528966,523883,828292,416343,411949,557106,272647,284459
1982,AGO,AGO1982,1099673,552346,547327,884275,444640,439635,558386,276888,281498
1983,AGO,AGO1983,1133716,569508,564208,944261,474599,469662,570783,285714,285069
1984,AGO,AGO1984,1159853,582828,577025,1000054,502541,497513,600249,301661,298588
1985,AGO,AGO1985,1186182,596222,589960,1045863,525567,520296,642252,322928,319324
1986,AGO,AGO1986,1227452,616839,610613,1079239,542420,536819,686964,345294,341670
1987,AGO,AGO1987,1273903,640152,633751,1109657,557778,551879,730403,367046,363357
1988,AGO,AGO1988,1324482,665656,658826,1141825,573941,567884,768078,385918,382160
1989,AGO,AGO1989,1376232,691847,684385,1178287,592205,586082,796245,400106,396139
1990,AGO,AGO1990,1425427,716791,708636,1217752,612057,605695,818983,411605,407378
1991,AGO,AGO1991,1482171,745308,736863,1259545,633178,626367,838375,421468,416907
1992,AGO,AGO1992,1540059,774368,765691,1306910,657114,649796,861423,433012,428411
1993,AGO,AGO1993,1596890,802894,793996,1358190,683016,675174,888337,446475,441862
1994,AGO,AGO1994,1651037,830114,820923,1410941,709634,701307,920125,462485,457640
1995,AGO,AGO1995,1701115,855391,845724,1463059,735941,727118,956157,480711,475446
1996,AGO,AGO1996,1761930,885903,876027,1514542,761878,752664,991832,498899,492933
1997,AGO,AGO1997,1821016,915604,905412,1569605,789587,780018,1029225,517832,511393
1998,AGO,AGO1998,1876247,943436,932811,1628013,818981,809032,1068173,537463,530710
1999,AGO,AGO1999,1927396,969285,958111,1687082,848732,838350,1108750,557882,550868
2000,AGO,AGO2000,1975407,993626,981781,1742487,876699,865788,1151495,579398,572097
2001,AGO,AGO2001,2038507,1025277,1013230,1793317,902338,890979,1192849,600354,592495
2002,AGO,AGO2002,2103948,1058093,1045855,1846270,929020,917250,1235935,622062,613873
2003,AGO,AGO2003,2170590,1091558,1079032,1903194,957730,945464,1278804,643627,635177
2004,AGO,AGO2004,2238094,1125547,1112547,1963772,988338,975434,1320443,664647,655796
2005,AGO,AGO2005,2306240,1159959,1146281,2025085,1019416,1005669,1362695,686075,676620
2006,AGO,AGO2006,2391150,1202521,1188629,2085591,1050015,1035576,1403210,706876,696334
2007,AGO,AGO2007,3595510,1808720,1786790,1539539,775388,764151,1401961,706683,695278
2008,AGO,AGO2008,3736493,1879689,1856804,1588277,799998,788279,1446934,729428,717506
2009,AGO,AGO2009,3885762,1954907,1930855,1640699,826388,814311,1493510,752826,740684
2010,AGO,AGO2010,4039482,2032472,2007010,1696965,854649,842316,1541265,776782,764483
2011,AGO,AGO2011,4205469,2115627,2089842,1754733,883855,870878,1587024,800094,786930
2012,AGO,AGO2012,4383296,2204508,2178788,1820095,916881,903214,1636628,825227,811401
2013,AGO,AGO2013,4570069,2297656,2272413,1891831,953085,938746,1690730,852497,838233
2014,AGO,AGO2014,4761994,2393074,2368920,1967560,991153,976407,1750177,882392,867785
2015,AGO,AGO2015,4953310,2487724,2465586,2046279,1030546,1015733,1816058,915535,900523
2016,AGO,AGO2016,5149203,2584084,2565119,2129159,1072253,1056906,1885229,950724,934505
2017,AGO,AGO2017,5340692,2676631,2664061,2219500,1117474,1102026,1958251,987506,970745
2018,AGO,AGO2018,5524854,2764056,2760798,2315343,1165262,1150081,2035258,1026007,1009251
2019,AGO,AGO2019,5698765,2845253,2853512,2414371,1214607,1199764,2118377,1067498,1050879
2020,AGO,AGO2020,5861597,2920536,2941061,2513643,1263901,1249742,2209021,1112806,1096215
2021,AGO,AGO2021,6029594,2998637,3030957,2609621,1310565,1299056,2304438,1160585,1143853
2022,AGO,AGO2022,6189345,3074104,3115241,2700121,1353394,1346727,2402636,1209709,1192927
1980,AIA,AIA1980,1439,725,714,570,283,287,328,163,165
1981,AIA,AIA1981,1382,699,683,583,289,294,336,166,170
1982,AIA,AIA1982,1348,681,667,584,291,293,344,171,173
1983,AIA,AIA1983,1324,671,653,576,287,289,354,176,178
1984,AIA,AIA1984,1312,662,650,565,281,284,365,182,183
1985,AIA,AIA1985,1312,665,647,557,278,279,372,185,187
1986,AIA,AIA1986,1324,671,653,559,277,282,375,186,189
1987,AIA,AIA1987,1293,656,637,547,272,275,369,183,186
1988,AIA,AIA1988,1279,649,630,543,271,272,366,181,185
1989,AIA,AIA1989,1271,645,626,544,272,272,362,179,183
1990,AIA,AIA1990,1263,641,622,543,272,271,359,178,181
1991,AIA,AIA1991,1248,633,615,537,268,269,355,177,178
1992,AIA,AIA1992,1303,661,642,553,278,275,362,179,183
1993,AIA,AIA1993,1351,682,669,572,288,284,370,184,186
1994,AIA,AIA1994,1393,704,689,592,297,295,382,191,191
1995,AIA,AIA1995,1429,724,705,612,309,303,398,199,199
1996,AIA,AIA1996,1464,742,722,638,322,316,414,208,206
1997,AIA,AIA1997,1460,740,720,647,327,320,419,212,207
1998,AIA,AIA1998,1448,734,714,656,333,323,428,216,212
1999,AIA,AIA1999,1429,723,706,665,338,327,439,223,216
2000,AIA,AIA2000,1398,709,689,673,343,330,449,229,220
2001,AIA,AIA2001,1360,689,671,679,345,334,456,232,224
2002,AIA,AIA2002,1327,674,653,676,344,332,460,235,225
2003,AIA,AIA2003,1299,659,640,663,337,326,464,236,228
2004,AIA,AIA2004,1284,650,634,642,326,316,464,236,228
2005,AIA,AIA2005,1277,643,634,617,314,303,457,232,225
2006,AIA,AIA2006,1278,643,635,593,301,292,442,225,217
2007,AIA,AIA2007,1286,643,643,574,292,282,425,217,208
2008,AIA,AIA2008,1296,649,647,563,286,277,408,207,201
2009,AIA,AIA2009,1313,655,658,558,282,276,392,200,192
2010,AIA,AIA2010,1332,663,669,555,280,275,382,194,188
2011,AIA,AIA2011,1353,672,681,551,278,273,376,191,185
2012,AIA,AIA2012,1375,682,693,553,278,275,374,189,185
2013,AIA,AIA2013,1394,690,704,559,280,279,372,187,185
2014,AIA,AIA2014,1403,696,707,567,283,284,370,186,184
2015,AIA,AIA2015,1411,699,712,577,288,289,372,187,185
2016,AIA,AIA2016,1415,701,714,588,291,297,377,189,188
2017,AIA,AIA2017,1419,704,715,597,296,301,383,191,192
2018,AIA,AIA2018,1423,705,718,603,299,304,391,194,197
2019,AIA,AIA2019,1422,704,718,607,300,307,397,197,200
2020,AIA,AIA2020,1418,703,715,609,302,307,402,199,203
2021,AIA,AIA2021,1413,698,715,611,303,308,404,200,204
2022,AIA,AIA2022,1407,696,711,612,303,309,406,201,205
1980,ATG,ATG1980,11246,5631,5615,4470,2222,2248,2714,1356,1358
1981,ATG,ATG1981,11093,5563,5530,4462,2207,2255,2660,1328,1332
1982,ATG,ATG1982,10772,5406,5366,4373,2167,2206,2701,1347,1354
1983,ATG,ATG1983,10526,5280,5246,4239,2106,2133,2680,1335,1345
1984,ATG,ATG1984,10335,5179,5156,4123,2050,2073,2601,1296,1305
1985,ATG,ATG1985,10174,5097,5077,4055,2012,2043,2507,1248,1259
1986,ATG,ATG1986,10027,5033,4994,4026,1987,2039,2448,1216,1232
1987,ATG,ATG1987,9738,4887,4851,3950,1952,1998,2495,1239,1256
1988,ATG,ATG1988,9491,4757,4734,3828,1894,1934,2470,1224,1246
1989,ATG,ATG1989,9297,4650,4647,3724,1843,1881,2389,1182,1207
1990,ATG,ATG1990,9147,4577,4570,3664,1809,1855,2299,1137,1162
1991,ATG,ATG1991,9051,4545,4506,3642,1795,1847,2251,1112,1139
1992,ATG,ATG1992,9080,4572,4508,3667,1820,1847,2323,1154,1169
1993,ATG,ATG1993,9182,4628,4554,3681,1843,1838,2362,1181,1181
1994,ATG,ATG1994,9332,4702,4630,3717,1875,1842,2374,1196,1178
1995,ATG,ATG1995,9505,4788,4717,3791,1918,1873,2380,1210,1170
1996,ATG,ATG1996,9685,4877,4808,3889,1969,1920,2415,1234,1181
1997,ATG,ATG1997,9776,4948,4828,3936,2008,1928,2478,1270,1208
1998,ATG,ATG1998,9903,5028,4875,3967,2042,1925,2518,1299,1219
1999,ATG,ATG1999,10051,5107,4944,4008,2077,1931,2538,1322,1216
2000,ATG,ATG2000,10208,5177,5031,4071,2118,1953,2552,1341,1211
2001,ATG,ATG2001,10367,5234,5133,4154,2162,1992,2581,1362,1219
2002,ATG,ATG2002,10385,5233,5152,4215,2183,2032,2651,1389,1262
2003,ATG,ATG2003,10361,5208,5153,4246,2188,2058,2697,1405,1292
2004,ATG,ATG2004,10293,5163,5130,4275,2192,2083,2723,1409,1314
2005,ATG,ATG2005,10195,5106,5089,4322,2207,2115,2743,1413,1330
2006,ATG,ATG2006,10085,5042,5043,4384,2233,2151,2775,1423,1352
